"word","definition"
"beverage","Any one of various liquids for drinking."
"bibliography","A complete or selective listing of documents by a given subject, author or publisher, often including the description and identification of the editions, dates of issue, titles, authorship, publishers or other written materials.\n(Source: RHW / ISEP)"
"bicycle","A vehicle with two wheels in tandem, pedals connected to the rear wheel by a chain, handlebars for steering, and a saddlelike seat."
"bilateral convention","An international agreement, especially one dealing with a specific matter, involving two or both sides, factions, or the like."
"bilge oil","Waste oil that accumulates, usually in small quantities, inside the lower spaces of a ship, just inside the shell plating, and usually mixed with larger quantities of water."
"bilge water","Water that builds up in the bottom of a ship's bilge."
"bioaccumulation","The accumulation of pollutants in living organisms by direct adsorption or through food chains."
"bio-availability","The extent to which a drug or other substance is taken up by a specific tissue or organ after administration.\n(Source: ZINZAN /  CEDa)"
"biochemistry","The study of chemical substances occurring in living organisms and the reactions and methods for identifying these substances."
"biocide","A diverse group of poisonous substance including preservatives, insecticides, disinfectants and pesticides used for the control of organisms that are harmful to human or animal health or that cause damage to natural or manufactured products.\n(Source: GRAHAW)"
"bioclimatology","The study of climate in relation to fauna and flora."
"biocoenosis","A community or natural assemblage of organisms; often used as an alternative to ecosystem but strictly is the fauna/flora association excluding physical aspects of the environment."
"bioconcentration factor","The quotient of the concentration of a chemical in aquatic organisms at a specific time or during a discrete time period of exposure, divided by the concentration in the surrounding water at the same time or during the same period.\n(Source: KOREN)"
"biodegradability","The extent to which a substance can be decomposed - or rotted - by bacteria and fungi."
"biodegradation","Breaking down of a substance by microorganisms."
"biodiversity","Number and variety of living organisms; includes genetic diversity, species diversity, and ecological diversity."
"bioethics","The study of ethical problems arising from biological research and its applications in such fields as organ transplantation, genetic engineering, or artificial insemination."
"biogas","Gas, rich in methane, which is produced by the fermentation of animal dung, human sewage or crop residues in an air-tight container."
"biogeochemical cycle","Movement of chemical elements in a circular pathway, from organisms to physical environment, back to organisms."
"biogeochemistry","The study of the chemical, physical, geological, and biological processes and reactions that govern the composition of the natural environment and its energy transportation cycles."
"biogeographical region","Area of the Earth's surface defined by the species of fauna and flora it contains."
"biogeography","The science concerned with the geographical distribution of animal and plant life."
"biological engineering","The application of engineering principles and techniques to biology and medicine. It is largely concerned with the design of replacement body parts, such as limbs, heart valves, etc."
