"word","definition"
"climb","To mount to a high or little accessible place using feet and hands."
"dark","Having an absolute or (more often) relative lack of light."
"dark","Marked by difficulty of style or expression."
"dark","Making despondent or depressive."
"dark","Moody and melancholic."
"dark","(For a color) Having a lower brightness."
"fuel cell","An electrochemical device that directly converts chemical energy into electric energy in a continuous reaction, and that needs continuous fuel supply from outside, different from a battery or an accumulator"
"board game","A game played on a specially designed board."
"remember","To recall from memory."
"shine","To emit light."
"shine","To reflect light."
"shine","To do something well; to distinguish oneself."
"shine","To clean a surface to the point of reflectiveness."
"shine","The quality of being bright and sending out rays of light."
"shine","To touch or seem as if touching visually or audibly."
"glow","To emit light."
"gleam","To reflect light."
"excel","To do something well; to distinguish oneself."
"polish","To clean a surface to the point of reflectiveness."
"buff","A follower or admirer who likes, knows about, and appreciates a particular interest or activity."
"buff","A change to a video game that increases the desirability or effectiveness of a particular game element."
"buff","To increase, in a video game, the desirability or effectiveness of a particular game element."
"in case","In the event; should there be a need."
"recall","To recall from memory."
"recollect","To recall from memory."
"downplay","To deemphasize; to lessen the importance, emphasis, or force of something, as in a  presentation."
"teach","To pass on knowledge and skills."
"deemphasize","To deemphasize; to lessen the importance, emphasis, or force of something, as in a  presentation."
"surname","A family name or last name."
"last name","A family name or last name."
"wheel","A circular object that spins around a central axe thereby allowing relatively low-friction movement."
"wheel","A circular object used to steer certain types of vehicles."
"tall","Having a vertical extent greater than the average; Having the upper end, tip, top, head, etc. a long way up; Having a great vertical extent (often greater than the horizontal extent); High."
"tall","Having a vertical extent greater than the average, said about a person."
"tall","Hard to believe (a story, a tale)."
"trouble","To have an unwanted negative influence on someone, to be distractive to or for someone, impress someone or something in a troublesome or uneasy way."
"trouble","A source of difficulties."
"trouble","An event causing distress or pain."
"trouble","A strong feeling of anxiety."
"trouble","To cause annoyance in; disturb, especially by minor irritations."
"trouble","To disturb in mind or make uneasy or cause to be worried or alarmed."
"special","Of particular interest."
"special","A dish or meal given prominence in e.g. a restaurant."
"rich","Possessing in abundance a particular trait."
"rich","For a color or a light: particularly strong and attracting gaze."
"rich","Abundant, fully sufficient or more than adequate in supply for the purpose or needs."
"rich","Having a lot of money and possessions."
"rich","Having a fatty, intense flavour."
"rich","[Used to form adjectives when combined with common nouns for things considered desirable in the context. The resulting adjectives usually mean ""abounding in (common noun)"".]"
"rich","Elaborate, having complex formatting, multimedia, or depth of interaction."
"rich","Of a fuel-air mixture, having less air than is necessary to burn all of the fuel."
"rich","Having a lot of natural resources."
"rich","Of great value or worth."
"rich","Expensive and elegant."
"rich","Made with expensive materials and elaborate workmanship."
"rich","Strongly fragrant."
"rich","Producing abundantly."
"rich","Having many components in large quantities."
"rich","Highly entertaining."
"rich","Musically powerful and varied, using various combinations of chords, various instrumental combinations."
"rich","(of food) Very spicy."
"rich","(of food) Sweet and full of butter or cream."
"rich","(Of vine) Strong and finely flavored."
"steal","To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force."
"steal","The act of taking illegitimatly possession of something that belongs to others."
